,,0,1,2,3,4,5,6,7,8,9
7.94,1,-2.35282,-2.52662,-2.52572,-2.44218,-2.38221,-2.37542,-2.45223,-2.44637,-2.63195,-2.63047
7.94,2,-3.17778,-2.6257,-2.1061,-1.59547,-1.10639,-0.77824,-0.46374,-0.29183,0.251903,1.102854
7.94,3,0.454122,0.516644,0.615307,0.66817,0.549663,0.429908,0.304514,0.125467,0.171245,-0.54619
7.94,4,0.399365,0.449465,0.510279,0.562278,0.58411,0.597862,0.566292,0.443386,0.575087,0.699999
7.94,5,0.217905,0.240647,0.233986,0.226153,0.234402,0.246868,0.253237,0.25231,0.209033,0.013155
6.51,1,-2.25676,-2.45,-2.45744,-2.40506,-2.32581,-2.20225,-2.21972,-2.24668,-2.35277,-2.48859
6.51,2,-3.23179,-2.73093,-2.24683,-1.76759,-1.25416,-0.81587,-0.45514,-0.12724,0.366727,0.938549
6.51,3,0.247766,0.34091,0.441637,0.593746,0.607504,0.53147,0.399795,0.343293,0.250745,0.536178
6.51,4,0.369012,0.453289,0.514483,0.571604,0.598599,0.570347,0.496269,0.421099,0.543467,0.637709
6.51,5,0.187066,0.249538,0.241478,0.226742,0.22449,0.224592,0.248445,0.268736,0.216664,0.388388
5.4,1,-2.26724,-2.44357,-2.50595,-2.49695,-2.46786,-2.3785,-2.38519,-2.30214,-2.3854,-1.91352
5.4,2,-3.37321,-2.90998,-2.47389,-2.04377,-1.58192,-1.11426,-0.58423,-0.26238,0.472349,0.951249
5.4,3,-0.10425,0.081747,0.167743,0.275362,0.349907,0.383165,0.406071,0.418627,0.266999,0.59288
5.4,4,0.805714,0.394081,0.496668,0.564906,0.621565,0.620449,0.593275,0.474825,0.372313,0.364538
5.4,5,0.150418,0.155895,0.209627,0.210731,0.215311,0.200815,0.252822,0.327467,0.272333,0.23934
4.26,1,-2.18002,-2.32997,-2.43156,-2.43973,-2.41515,-2.35874,-2.2959,-2.05375,-1.9274,-2.46499
4.26,2,-3.39074,-2.99401,-2.5813,-2.19585,-1.77887,-1.41337,-0.91993,-0.55615,-0.09098,1.045598
4.26,3,-0.08725,0.135106,0.225335,0.270512,0.285605,0.261161,0.246278,0.339469,0.731209,0.461993
4.26,4,0.723287,0.39213,0.475867,0.528454,0.59832,0.632341,0.490109,0.447057,0.456063,0.96516
4.26,5,0.247441,0.192469,0.230316,0.220594,0.209299,0.210944,0.318825,0.316207,0.407228,0.010944
4.21,1,-2.277339,-2.42465,-2.49257,-2.52895,-2.52464,-2.46784,-2.39366,-2.27794,-2.45181,-1.80326
4.21,2,-3.42767,-3.01819,-2.65115,-2.25041,-1.84933,-1.47357,-0.96668,-0.443,0.357367,0.648708
4.21,3,-0.20323,-0.10698,-0.1008,-0.13435,-0.15386,0.160603,0.121532,0.192028,0.248834,0.568631
4.21,4,0.440322,0.469665,0.013078,0.024444,0.054808,0.666024,0.667634,0.910596,0.411522,0.425002
4.21,5,0.392463,0.326995,0.137266,0.12808,0.131808,0.131827,0.107747,0.009723,0.484367,0.452761
2.98,1,-2.08651,-2.21249,-2.32997,-2.38838,-2.42135,-2.43901,-2.40604,-2.24485,-2.07736,-2.69237
2.98,2,-3.51559,-3.18645,-2.84273,-2.52632,-2.18603,-1.86562,-1.46471,-1.12311,-0.6139,0.163617
2.98,3,-0.31506,-0.19062,-0.1237,-0.13568,-0.13586,-0.17606,-0.08164,-0.14931,0.252863,0.903024
2.98,4,0.451336,0.616349,0.787318,-0.00566,0.047616,0.094413,0.295418,0.211407,0.126062,0.554677
2.98,5,0.354675,0.264437,0.168548,0.101733,0.14383,0.159317,0.43813,0.112065,0.473327,0.405872
2.55,1,-2.17701,-2.3065,-2.40451,-2.45499,-2.46124,-2.44374,-2.45047,-2.4413,-2.32448,-2.4169
2.55,2,-3.49706,-3.15946,-2.82341,-2.51906,-2.19674,-1.93006,-1.55299,-1.22746,-0.60546,-0.29867
2.55,3,-0.34101,-0.21725,-0.13481,-0.12016,-0.13003,-0.14435,-0.11201,0.146527,-0.22577,0.292364
2.55,4,0.442005,0.560914,0.728422,-0.00263,0.048401,0.122357,0.298643,0.918614,0.439096,0.231139
2.55,5,0.332482,0.300637,0.237943,0.112181,0.153022,0.144832,0.201251,0.186207,0.016392,0.271188
