,,0,300,400,500,600,700
,,300,400,500,600,700,10000
7.94,1,-2.66671,-2.57266,-2.47754,-2.32703,-2.12433,-2.09752
7.94,2,-2.9913,-2.48114,-1.98524,-1.52734,-1.16405,-0.8388
7.94,3,0.425697,0.493922,0.608664,0.701326,0.729283,0.720011
7.94,4,0.412384,0.461985,0.508696,0.558665,0.614745,0.648552
7.94,5,0.266006,0.245366,0.231335,0.221758,0.204151,0.214216
6.51,1,-2.54313,-2.47711,-2.42902,-2.28709,-2.14039,-2.00079
6.51,2,-3.02078,-2.60084,-2.14451,-1.68718,-1.2855,-0.9142
6.51,3,0.190019,0.312693,0.463254,0.641423,0.795549,0.763114
6.51,4,0.422135,0.465108,0.515262,0.564182,0.619697,0.637911
6.51,5,0.208085,0.237391,0.244231,0.228245,0.215834,0.194656
5.4,1,-2.56032,-2.51121,-2.44539,-2.33976,-2.22063,-2.12832
5.4,2,-3.20871,-2.77896,-2.37126,-1.96456,-1.59216,-1.21362
5.4,3,0.124613,0.077863,0.158645,0.322868,0.493817,0.560964
5.4,4,0.464518,0.531476,0.482319,0.52793,0.599847,0.63887
5.4,5,0.122824,0.15852,0.212369,0.210445,0.203994,0.185242
4.26,1,-2.36114,-2.40194,-2.39469,-2.31473,-2.21903,-2.16848
4.26,2,-3.26441,-2.86486,-2.51399,-2.11721,-1.77061,-1.46108
4.26,3,-0.12211,0.08845,0.207817,0.3197,0.408476,0.487242
4.26,4,0.856478,0.448339,0.483749,0.484648,0.530858,0.625414
4.26,5,0.14548,0.206086,0.245091,0.211604,0.209154,0.224991
4.21,1,-2.54866,-2.50056,-2.44493,-2.36205,-2.30426,-2.24837
4.21,2,-3.28123,-2.90773,-2.55516,-2.19057,-1.85838,-1.59053
4.21,3,-0.12213,-0.11617,-0.06983,0.113819,0.254064,0.375879
4.21,4,0.092235,0.253672,0.451903,0.469233,0.574489,0.610983
4.21,5,0.304472,0.331482,0.439088,0.118415,0.141865,0.168378
2.98,1,-2.18808,-2.27915,-2.30838,-2.25885,-2.24422,-2.18272
2.98,2,-3.48491,-3.09545,-2.7854,-2.47627,-2.15566,-1.91859
2.98,3,-0.2298,-0.17884,-0.12887,-0.13142,0.205992,0.391296
2.98,4,0.402005,0.47705,0.761763,0.876305,0.526361,0.593109
2.98,5,0.374194,0.364827,0.178012,0.115006,0.131447,0.193973
2.55,1,-2.29614,-2.36621,-2.38926,-2.32169,-2.24478,-2.23572
2.55,2,-3.42572,-3.06415,-2.76738,-2.49546,-2.19129,-1.90944
2.55,3,-0.32774,-0.21441,-0.14422,-0.12976,0.198282,0.273778
2.55,4,0.370928,0.476366,0.72059,0.863876,0.490563,0.592663
2.55,5,0.377825,0.352229,0.212592,0.132581,0.111508,0.183205
